from,to
lon0lat-10,lon0lat-20
lon100lat-10,lon100lat-20
lon100lat-10,lon140lat40
lon100lat-40,lon100lat-50
lon100lat-40,lon120lat-30
lon100lat-60,lon100lat-70
lon100lat-70,lon100lat-80
lon100lat-80,lon110lat90
lon100lat0,lon100lat-10
lon100lat30,lon120lat30
lon100lat50,lon100lat60
lon100lat60,lon120lat50
lon110lat-10,lon110lat0
lon110lat-20,lon110lat-30
lon110lat-30,lon110lat-40
lon110lat-40,lon110lat-50
lon110lat-50,lon110lat-60
lon110lat-60,lon110lat-70
lon110lat-70,lon130lat-70
lon110lat0,lon110lat10
lon110lat20,lon110lat30
lon110lat60,lon110lat50
lon110lat70,lon110lat60
lon110lat80,lon110lat70
lon110lat90,lon110lat80
lon120lat-10,lon120lat0
lon120lat-40,lon140lat-40
lon120lat-50,lon120lat-60
lon120lat-60,lon120lat-70
lon120lat-70,lon120lat-80
lon120lat-80,lon130lat90
lon120lat40,lon140lat50
lon120lat60,lon120lat70
lon120lat80,lon140lat90
lon120lat90,lon150lat-80
lon130lat-10,lon130lat0
lon130lat-20,lon130lat-30
lon130lat-30,lon130lat-40
lon130lat-40,lon130lat-50
lon130lat-50,lon130lat-60
lon130lat40,lon130lat30
lon130lat50,lon130lat40
lon130lat60,lon130lat50
lon130lat70,lon130lat60
lon130lat80,lon130lat70
lon130lat90,lon130lat80
lon140lat-30,lon160lat-20
lon140lat-40,lon140lat-50
lon140lat-50,lon140lat-60
lon140lat-60,lon140lat-70
lon140lat-70,lon140lat-80
lon140lat-80,lon150lat90
lon140lat30,lon160lat30
lon140lat60,lon140lat70
lon140lat70,lon140lat80
lon150lat-20,lon150lat-30
lon150lat-30,lon150lat-40
lon150lat-40,lon150lat-50
lon150lat-50,lon150lat-60
lon150lat-60,lon150lat-70
lon150lat0,lon150lat10
lon150lat10,lon140lat10
lon150lat20,lon150lat30
lon150lat30,lon150lat40
lon150lat40,lon150lat50
lon150lat50,lon150lat60
lon150lat70,lon150lat60
lon150lat80,lon150lat70
lon150lat90,lon150lat80
lon160lat-30,lon160lat-40
lon160lat-40,lon160lat-50
lon160lat-50,lon160lat-60
lon160lat-60,lon160lat-70
lon160lat-70,lon160lat-80
lon160lat-80,lon170lat90
lon160lat60,lon160lat70
lon160lat70,lon160lat80
lon160lat80,lon160lat90
lon160lat80,lon170lat-80
lon170lat-10,lon170lat0
lon170lat-30,lon170lat-40
lon170lat-40,lon170lat-50
lon170lat-50,lon170lat-60
lon170lat-60,lon170lat-70
lon170lat10,lon170lat20
lon170lat20,lon170lat30
lon170lat30,lon170lat40
lon170lat40,lon170lat50
lon170lat50,lon170lat60
lon170lat60,lon170lat70
lon170lat70,lon170lat80
lon170lat80,lon170lat90
lon180lat-10,lon180lat-20
lon180lat-20,lon180lat-30
lon180lat-40,lon180lat-50
lon180lat-50,lon180lat-60
lon180lat-60,lon180lat-70
lon180lat-80,lon180lat-70
lon180lat0,lon180lat10
lon180lat10,lon180lat20
lon180lat20,lon180lat30
lon180lat30,lon180lat40
lon180lat60,lon180lat70
lon180lat70,lon180lat80
lon180lat90,lon190lat-80
lon190lat-20,lon190lat-30
lon190lat-60,lon180lat60
lon190lat-60,lon190lat-50
lon190lat-70,lon190lat-60
lon190lat-80,lon190lat-70
lon190lat0,lon190lat10
lon190lat10,lon190lat20
lon190lat20,lon190lat30
lon190lat30,lon190lat40
lon190lat40,lon190lat50
lon190lat50,lon190lat60
lon190lat60,lon190lat70
lon190lat70,lon190lat80
lon190lat80,lon190lat90
lon190lat90,lon180lat-80
lon200lat-10,lon200lat-20
lon200lat-10,lon200lat0
lon200lat-20,lon200lat-30
lon200lat-30,lon200lat-40
lon200lat-40,lon200lat-50
lon200lat-60,lon200lat-70
lon200lat-60,lon220lat-70
lon200lat-70,lon200lat-80
lon200lat0,lon200lat10
lon200lat10,lon200lat20
lon200lat30,lon200lat40
lon200lat50,lon210lat-50
lon200lat90,lon220lat80
lon20lat-10,lon20lat-20
lon20lat-30,lon20lat-40
lon20lat-40,lon20lat-50
lon20lat-50,lon20lat-60
lon20lat-60,lon20lat-70
lon20lat-70,lon20lat-80
lon20lat-80,lon30lat90
lon20lat0,lon20lat10
lon20lat10,lon20lat20
lon20lat20,lon20lat30
lon20lat30,lon20lat40
lon20lat50,lon20lat60
lon20lat60,lon20lat70
lon20lat70,lon20lat80
lon20lat80,lon20lat90
lon20lat90,lon30lat-80
lon210lat-10,lon210lat0
lon210lat-30,lon210lat-40
lon210lat-60,lon210lat-70
lon210lat-70,lon210lat-80
lon210lat-80,lon200lat90
lon210lat0,lon210lat10
lon210lat10,lon210lat20
lon210lat20,lon210lat30
lon210lat30,lon210lat40
lon210lat40,lon210lat50
lon210lat50,lon210lat60
lon210lat60,lon210lat70
lon210lat70,lon210lat80
lon210lat80,lon210lat90
lon210lat90,lon200lat-80
lon220lat-10,lon220lat-20
lon220lat-10,lon220lat0
lon220lat-40,lon220lat-50
lon220lat-70,lon240lat-70
lon220lat-80,lon230lat90
lon220lat0,lon220lat10
lon220lat10,lon220lat20
lon220lat20,lon220lat30
lon220lat30,lon220lat40
lon220lat60,lon220lat70
lon220lat90,lon230lat-80
lon230lat-10,lon250lat-10
lon230lat-70,lon230lat-60
lon230lat-80,lon230lat-70
lon230lat10,lon230lat20
lon230lat20,lon230lat30
lon230lat30,lon230lat40
lon230lat40,lon230lat50
lon230lat50,lon230lat60
lon230lat60,lon230lat70
lon230lat70,lon230lat80
lon240lat-10,lon240lat0
lon240lat-30,lon240lat-40
lon240lat-40,lon240lat-50
lon240lat-50,lon240lat-60
lon240lat0,lon240lat10
lon240lat10,lon240lat20
lon240lat20,lon240lat30
lon240lat30,lon240lat40
lon240lat40,lon240lat50
lon240lat50,lon220lat50
lon240lat90,lon240lat80
lon250lat-10,lon250lat0
lon250lat-20,lon270lat-20
lon250lat-40,lon250lat-50
lon250lat-50,lon250lat-60
lon250lat-60,lon250lat-70
lon250lat-70,lon250lat-80
lon250lat-80,lon240lat90
lon250lat0,lon250lat10
lon250lat10,lon250lat20
lon250lat20,lon250lat30
lon250lat30,lon250lat40
lon250lat40,lon250lat50
lon250lat50,lon250lat60
lon250lat60,lon250lat70
lon250lat70,lon250lat80
lon250lat80,lon250lat90
lon250lat90,lon240lat-80
lon260lat-10,lon260lat0
lon260lat-20,lon260lat-30
lon260lat-30,lon260lat-40
lon260lat-40,lon260lat-50
lon260lat-50,lon260lat-60
lon260lat-60,lon260lat-70
lon260lat-70,lon260lat-80
lon260lat-80,lon270lat90
lon260lat0,lon260lat10
lon260lat20,lon260lat30
lon260lat30,lon260lat40
lon260lat40,lon260lat50
lon260lat50,lon260lat60
lon260lat60,lon260lat70
lon260lat70,lon260lat80
lon260lat80,lon260lat90
lon260lat90,lon270lat-80
lon270lat-10,lon290lat-10
lon270lat-30,lon270lat-40
lon270lat-40,lon270lat-50
lon270lat-50,lon270lat-60
lon270lat-60,lon270lat-70
lon270lat-80,lon270lat-70
lon270lat0,lon270lat10
lon270lat10,lon270lat20
lon270lat20,lon270lat30
lon270lat30,lon270lat40
lon270lat40,lon270lat50
lon270lat50,lon270lat60
lon270lat70,lon270lat80
lon280lat-10,lon280lat-20
lon280lat-10,lon280lat0
lon280lat-20,lon280lat-30
lon280lat-30,lon280lat-40
lon280lat-40,lon280lat-50
lon280lat-50,lon280lat-60
lon280lat-60,lon280lat-70
lon280lat-70,lon280lat-80
lon280lat-80,lon290lat90
lon280lat0,lon280lat10
lon280lat10,lon280lat20
lon280lat20,lon280lat30
lon280lat30,lon280lat40
lon280lat40,lon280lat50
lon280lat50,lon280lat60
lon280lat70,lon280lat80
lon280lat80,lon280lat90
lon290lat-10,lon290lat0
lon290lat-30,lon290lat-40
lon290lat-40,lon290lat-50
lon290lat-50,lon290lat-60
lon290lat-60,lon290lat-70
lon290lat-70,lon290lat-80
lon290lat-80,lon280lat90
lon290lat10,lon290lat20
lon290lat20,lon290lat30
lon290lat30,lon290lat40
lon290lat40,lon290lat50
lon290lat50,lon290lat60
lon290lat60,lon290lat70
lon290lat80,lon290lat70
lon290lat90,lon290lat80
lon300lat-10,lon300lat-20
lon300lat-10,lon300lat0
lon300lat-20,lon300lat-30
lon300lat-30,lon300lat-40
lon300lat-40,lon300lat-50
lon300lat-50,lon300lat-60
lon300lat-60,lon300lat-70
lon300lat-80,lon300lat-70
lon300lat0,lon300lat10
lon300lat10,lon300lat20
lon300lat40,lon300lat50
lon300lat70,lon300lat80
lon30lat-10,lon30lat-20
lon30lat-10,lon30lat0
lon30lat-30,lon30lat-40
lon30lat-40,lon30lat-50
lon30lat-60,lon30lat-70
lon30lat0,lon30lat10
lon30lat10,lon30lat20
lon30lat20,lon30lat30
lon30lat30,lon30lat40
lon30lat40,lon30lat50
lon30lat50,lon30lat60
lon30lat60,lon30lat80
