ID,Variable 1,Dependency,Variable 2
1,lon100lat-10,-,lon100lat-20
2,lon100lat-10,-,lon100lat0
3,lon100lat-20,-,lon100lat-10
4,lon100lat-30,->,lon140lat-20
5,lon100lat-70,->,lon100lat-60
6,lon100lat-80,->,lon100lat-70
7,lon100lat0,-,lon100lat-10
8,lon100lat0,-,lon100lat10
9,lon100lat10,-,lon100lat0
10,lon100lat60,->,lon100lat50
11,lon100lat60,->,lon120lat50
12,lon100lat80,-,lon110lat-80
13,lon100lat90,->,lon130lat-80
14,lon100lat90,-,lon80lat90
15,lon110lat-10,-,lon110lat0
16,lon110lat-20,-,lon110lat-30
17,lon110lat-20,-,lon130lat-20
18,lon110lat-20,->,lon130lat80
19,lon110lat-30,-,lon110lat-20
20,lon110lat-30,-,lon110lat-40
21,lon110lat-40,-,lon110lat-30
22,lon110lat-40,-,lon110lat-50
23,lon110lat-50,-,lon110lat-40
24,lon110lat-50,-,lon110lat-60
25,lon110lat-60,-,lon110lat-50
26,lon110lat-80,-,lon100lat80
27,lon110lat-80,->,lon130lat-80
28,lon110lat0,-,lon110lat-10
29,lon110lat0,->,lon110lat10
30,lon110lat20,->,lon110lat10
31,lon110lat20,-,lon110lat30
32,lon110lat20,-,lon130lat20
33,lon110lat30,-,lon110lat20
34,lon110lat40,->,lon110lat50
35,lon110lat50,->,lon110lat60
36,lon110lat60,->,lon110lat70
37,lon110lat70,->,lon110lat80
38,lon110lat80,->,lon110lat90
39,lon110lat90,->,lon100lat-80
40,lon120lat-10,-,lon120lat0
41,lon120lat-30,->,lon120lat-20
42,lon120lat-50,->,lon120lat-40
43,lon120lat-60,->,lon120lat-50
44,lon120lat-70,->,lon120lat-60
45,lon120lat-80,->,lon120lat-70
46,lon120lat0,-,lon120lat-10
47,lon120lat0,->,lon120lat10
48,lon120lat20,->,lon120lat10
49,lon120lat20,-,lon120lat30
50,lon120lat30,->,lon100lat30
51,lon120lat30,-,lon120lat20
52,lon120lat40,->,lon120lat50
53,lon120lat50,->,lon100lat50
54,lon120lat60,-,lon120lat70
55,lon120lat70,-,lon120lat60
56,lon120lat80,-,lon120lat90
57,lon120lat90,-,lon120lat80
58,lon120lat90,-,lon150lat-80
59,lon130lat-10,-,lon130lat0
60,lon130lat-20,-,lon110lat-20
61,lon130lat-20,-,lon130lat-30
62,lon130lat-30,-,lon130lat-20
63,lon130lat-30,-,lon130lat-40
64,lon130lat-40,-,lon130lat-30
65,lon130lat-40,-,lon130lat-50
66,lon130lat-50,-,lon130lat-40
67,lon130lat-50,-,lon130lat-60
68,lon130lat-60,-,lon130lat-50
69,lon130lat-60,-,lon130lat-70
70,lon130lat-70,-,lon130lat-60
71,lon130lat0,-,lon130lat-10
72,lon130lat20,-,lon110lat20
73,lon130lat20,->,lon120lat-20
74,lon130lat30,-,lon130lat40
75,lon130lat40,->,lon110lat40
76,lon130lat40,-,lon130lat30
77,lon130lat40,->,lon130lat50
78,lon130lat60,->,lon130lat50
79,lon130lat60,-,lon130lat70
80,lon130lat70,-,lon130lat60
81,lon130lat70,->,lon130lat80
82,lon130lat80,->,lon130lat90
83,lon130lat90,->,lon120lat-80
84,lon140lat-30,->,lon140lat-20
85,lon140lat-30,-,lon140lat-40
86,lon140lat-40,-,lon140lat-30
87,lon140lat-40,-,lon140lat-50
88,lon140lat-50,-,lon140lat-40
89,lon140lat-50,-,lon140lat-60
90,lon140lat-60,-,lon140lat-50
91,lon140lat-60,-,lon140lat-70
92,lon140lat-70,-,lon140lat-60
93,lon140lat-70,-,lon140lat-80
94,lon140lat-80,-,lon140lat-70
95,lon140lat-80,-,lon150lat90
96,lon140lat10,-,lon160lat90
97,lon140lat20,-,lon140lat30
98,lon140lat30,-,lon140lat20
99,lon140lat50,-,lon140lat60
100,lon140lat60,-,lon140lat50
101,lon140lat60,-,lon140lat70
102,lon140lat70,-,lon140lat60
103,lon140lat70,-,lon140lat80
104,lon140lat80,-,lon140lat70
105,lon150lat-10,-,lon150lat-20
106,lon150lat-20,-,lon150lat-10
107,lon150lat-20,-,lon150lat-30
108,lon150lat-30,-,lon150lat-20
109,lon150lat-30,-,lon150lat-40
110,lon150lat-40,-,lon150lat-30
111,lon150lat-40,-,lon150lat-50
112,lon150lat-50,-,lon150lat-40
113,lon150lat-50,-,lon150lat-60
114,lon150lat-60,-,lon150lat-50
115,lon150lat-60,-,lon150lat-70
116,lon150lat-70,-,lon150lat-60
117,lon150lat-80,-,lon120lat90
118,lon150lat0,-,lon150lat10
119,lon150lat10,-,lon150lat0
120,lon150lat20,->,lon110lat40
121,lon150lat30,->,lon150lat20
122,lon150lat40,->,lon150lat30
123,lon150lat50,->,lon150lat40
124,lon150lat60,->,lon150lat50
125,lon150lat60,-,lon150lat70
126,lon150lat70,-,lon150lat60
127,lon150lat70,-,lon150lat80
128,lon150lat80,-,lon150lat70
129,lon150lat80,-,lon150lat90
130,lon150lat90,-,lon140lat-80
131,lon150lat90,-,lon150lat80
132,lon160lat-20,->,lon140lat0
133,lon160lat-30,->,lon160lat-20
134,lon160lat-40,->,lon160lat-30
135,lon160lat-50,->,lon160lat-40
136,lon160lat-50,->,lon180lat-50
137,lon160lat-60,->,lon160lat-50
138,lon160lat-70,->,lon160lat-60
139,lon160lat-80,->,lon160lat-70
140,lon160lat10,->,lon170lat10
141,lon160lat20,-,lon160lat30
142,lon160lat30,-,lon160lat20
143,lon160lat60,-,lon160lat70
144,lon160lat70,-,lon160lat60
145,lon160lat90,-,lon140lat10
146,lon170lat-10,->,lon170lat0
147,lon170lat-20,-,lon180lat60
148,lon170lat-30,-,lon170lat-40
149,lon170lat-40,-,lon170lat-30
150,lon170lat-40,-,lon170lat-50
151,lon170lat-50,-,lon170lat-40
152,lon170lat-50,-,lon170lat-60
153,lon170lat-60,-,lon170lat-50
154,lon170lat-60,-,lon170lat-70
155,lon170lat-70,-,lon170lat-60
156,lon170lat-80,->,lon180lat90
157,lon170lat0,->,lon170lat10
158,lon170lat10,->,lon170lat20
159,lon170lat20,->,lon170lat30
160,lon170lat30,->,lon170lat40
161,lon170lat40,->,lon170lat50
162,lon170lat50,->,lon170lat60
163,lon170lat60,->,lon150lat50
164,lon170lat60,->,lon170lat70
165,lon170lat70,->,lon170lat80
166,lon170lat80,->,lon170lat90
167,lon170lat90,->,lon160lat-80
168,lon180lat-10,-,lon180lat-20
169,lon180lat-10,-,lon180lat0
170,lon180lat-20,-,lon180lat-10
171,lon180lat-20,-,lon180lat-30
172,lon180lat-30,-,lon180lat-20
173,lon180lat-50,->,lon180lat-40
174,lon180lat-50,->,lon180lat-60
175,lon180lat-60,->,lon180lat-70
176,lon180lat-70,->,lon180lat-80
177,lon180lat-80,->,lon190lat90
178,lon180lat0,-,lon180lat-10
179,lon180lat0,-,lon180lat10
180,lon180lat10,-,lon180lat0
181,lon180lat10,-,lon180lat20
182,lon180lat20,-,lon180lat10
183,lon180lat20,-,lon180lat30
184,lon180lat30,-,lon180lat20
185,lon180lat30,-,lon180lat40
186,lon180lat40,-,lon180lat30
187,lon180lat50,-,lon200lat50
188,lon180lat60,-,lon170lat-20
189,lon180lat60,-,lon180lat70
190,lon180lat70,-,lon180lat60
191,lon180lat70,-,lon180lat80
192,lon180lat80,-,lon180lat70
193,lon190lat-10,->,lon170lat0
194,lon190lat-20,-,lon190lat-30
195,lon190lat-30,-,lon190lat-20
196,lon190lat-50,-,lon190lat-60
197,lon190lat-60,-,lon190lat-50
198,lon190lat-70,-,lon190lat-80
199,lon190lat-80,->,lon180lat90
200,lon190lat-80,-,lon190lat-70
201,lon190lat0,->,lon210lat-10
202,lon190lat10,->,lon190lat0
203,lon190lat20,->,lon190lat10
204,lon190lat30,->,lon190lat20
205,lon190lat40,->,lon190lat30
206,lon190lat50,->,lon190lat40
207,lon190lat60,->,lon190lat50
208,lon190lat70,->,lon190lat60
209,lon190lat80,->,lon190lat70
210,lon190lat90,->,lon190lat80
211,lon200lat-10,-,lon200lat-20
212,lon200lat-10,-,lon200lat0
213,lon200lat-20,-,lon200lat-10
214,lon200lat-20,-,lon200lat-30
215,lon200lat-30,-,lon200lat-20
216,lon200lat-30,-,lon200lat-40
217,lon200lat-40,-,lon200lat-30
218,lon200lat-40,-,lon200lat-50
219,lon200lat-50,-,lon200lat-40
220,lon200lat-50,->,lon200lat-60
221,lon200lat-60,->,lon200lat-70
222,lon200lat-70,->,lon200lat-80
223,lon200lat-80,->,lon210lat90
224,lon200lat0,-,lon200lat-10
225,lon200lat0,-,lon200lat10
226,lon200lat10,-,lon200lat0
227,lon200lat10,-,lon200lat20
228,lon200lat20,-,lon200lat10
229,lon200lat20,-,lon200lat30
230,lon200lat30,-,lon200lat20
231,lon200lat30,-,lon200lat40
232,lon200lat40,-,lon200lat30
233,lon200lat50,-,lon180lat50
234,lon200lat60,->,lon200lat70
235,lon200lat80,->,lon180lat90
236,lon200lat90,-,lon210lat-80
237,lon200lat90,-,lon220lat80
238,lon20lat-10,-,lon20lat-20
239,lon20lat-10,-,lon20lat0
240,lon20lat-20,-,lon20lat-10
241,lon20lat-20,-,lon20lat-30
242,lon20lat-30,-,lon20lat-20
243,lon20lat-30,-,lon20lat-40
244,lon20lat-40,-,lon20lat-30
245,lon20lat-40,-,lon20lat-50
246,lon20lat-50,-,lon20lat-40
247,lon20lat-50,-,lon20lat-60
248,lon20lat-60,-,lon20lat-50
249,lon20lat-60,-,lon20lat-70
250,lon20lat-70,-,lon20lat-60
251,lon20lat-70,-,lon20lat-80
252,lon20lat-80,-,lon20lat-70
253,lon20lat-80,-,lon30lat90
254,lon20lat0,-,lon20lat-10
255,lon20lat0,-,lon20lat10
256,lon20lat10,-,lon20lat0
257,lon20lat10,-,lon20lat20
258,lon20lat20,-,lon20lat10
259,lon20lat20,-,lon20lat30
260,lon20lat30,-,lon20lat20
261,lon20lat30,-,lon20lat40
262,lon20lat40,-,lon20lat30
263,lon20lat40,-,lon20lat50
264,lon20lat50,-,lon20lat40
265,lon20lat50,-,lon20lat60
266,lon20lat60,-,lon20lat50
267,lon20lat60,-,lon20lat70
268,lon20lat70,-,lon20lat60
269,lon20lat70,-,lon20lat80
270,lon20lat80,-,lon20lat70
271,lon20lat80,-,lon20lat90
272,lon20lat90,-,lon20lat80
273,lon20lat90,-,lon30lat-80
274,lon210lat-30,-,lon210lat-40
275,lon210lat-40,->,lon200lat70
276,lon210lat-40,-,lon210lat-30
277,lon210lat-70,->,lon210lat-60
278,lon210lat-70,-,lon210lat-80
279,lon210lat-80,-,lon200lat90
280,lon210lat-80,-,lon210lat-70
281,lon210lat10,->,lon210lat0
282,lon210lat20,->,lon210lat10
283,lon210lat30,->,lon210lat20
284,lon210lat40,->,lon210lat30
285,lon210lat50,->,lon210lat40
286,lon210lat60,->,lon210lat50
287,lon210lat70,->,lon210lat60
288,lon210lat80,->,lon210lat70
289,lon210lat90,->,lon210lat80
290,lon220lat-10,-,lon220lat-20
291,lon220lat-10,-,lon220lat0
292,lon220lat-20,-,lon220lat-10
293,lon220lat-20,-,lon240lat-20
294,lon220lat-30,-,lon240lat-30
295,lon220lat-40,-,lon220lat-50
296,lon220lat-50,-,lon220lat-40
297,lon220lat-70,->,lon200lat-60
298,lon220lat-80,->,lon220lat-70
299,lon220lat-80,-,lon230lat90
300,lon220lat0,-,lon220lat-10
301,lon220lat0,-,lon220lat10
302,lon220lat0,->,lon240lat-10
303,lon220lat10,-,lon220lat0
304,lon220lat10,-,lon220lat20
305,lon220lat20,-,lon220lat10
306,lon220lat20,-,lon220lat30
307,lon220lat30,-,lon220lat20
308,lon220lat30,-,lon220lat40
309,lon220lat40,-,lon220lat30
310,lon220lat50,-,lon240lat50
311,lon220lat60,-,lon220lat70
312,lon220lat70,-,lon220lat60
313,lon220lat80,-,lon200lat90
314,lon220lat80,-,lon220lat90
315,lon220lat90,-,lon220lat80
316,lon220lat90,->,lon230lat-80
317,lon230lat-10,->,lon210lat-10
318,lon230lat-10,-,lon230lat0
319,lon230lat-30,-,lon250lat-30
320,lon230lat-70,->,lon210lat-60
321,lon230lat-70,->,lon230lat-60
322,lon230lat-80,->,lon230lat-70
323,lon230lat0,-,lon230lat-10
324,lon230lat0,-,lon230lat10
325,lon230lat10,-,lon230lat0
326,lon230lat10,-,lon230lat20
327,lon230lat20,-,lon230lat10
328,lon230lat20,-,lon230lat30
329,lon230lat30,-,lon230lat20
330,lon230lat30,-,lon230lat40
331,lon230lat40,-,lon230lat30
332,lon230lat40,-,lon230lat50
333,lon230lat50,-,lon230lat40
334,lon230lat50,-,lon230lat60
335,lon230lat60,-,lon230lat50
336,lon230lat60,-,lon230lat70
337,lon230lat70,-,lon230lat60
338,lon230lat70,-,lon230lat80
339,lon230lat80,-,lon230lat70
340,lon230lat80,-,lon230lat90
341,lon230lat90,-,lon220lat-80
342,lon230lat90,-,lon230lat80
343,lon240lat-20,-,lon220lat-20
344,lon240lat-30,-,lon220lat-30
345,lon240lat-30,-,lon240lat-40
346,lon240lat-40,-,lon240lat-30
347,lon240lat-40,-,lon240lat-50
348,lon240lat-50,-,lon240lat-40
349,lon240lat-50,-,lon240lat-60
350,lon240lat-60,-,lon240lat-50
351,lon240lat-70,->,lon220lat-70
352,lon240lat-70,->,lon260lat-70
353,lon240lat-80,-,lon250lat90
354,lon240lat0,->,lon240lat-10
355,lon240lat0,-,lon240lat10
356,lon240lat10,-,lon240lat0
357,lon240lat10,-,lon240lat20
358,lon240lat20,-,lon240lat10
359,lon240lat20,-,lon240lat30
360,lon240lat30,-,lon240lat20
361,lon240lat30,->,lon240lat40
362,lon240lat50,-,lon220lat50
363,lon240lat50,->,lon240lat40
364,lon240lat80,-,lon240lat90
365,lon240lat80,->,lon260lat70
366,lon240lat90,->,lon230lat-80
367,lon240lat90,-,lon240lat80
368,lon240lat90,-,lon250lat-80
369,lon250lat-10,-,lon250lat0
370,lon250lat-10,->,lon270lat-10
371,lon250lat-20,->,lon270lat-20
372,lon250lat-30,-,lon230lat-30
373,lon250lat-30,-,lon250lat-40
374,lon250lat-40,-,lon250lat-30
375,lon250lat-40,-,lon270lat-30
376,lon250lat-40,->,lon270lat-40
377,lon250lat-60,->,lon250lat-50
378,lon250lat-60,-,lon250lat-70
379,lon250lat-70,-,lon250lat-60
380,lon250lat-70,-,lon250lat-80
381,lon250lat-80,-,lon240lat90
382,lon250lat-80,-,lon250lat-70
383,lon250lat-80,->,lon270lat-10
384,lon250lat0,-,lon250lat-10
385,lon250lat0,-,lon250lat10
386,lon250lat10,-,lon250lat0
387,lon250lat10,-,lon250lat20
388,lon250lat20,-,lon250lat10
389,lon250lat20,-,lon250lat30
390,lon250lat30,-,lon250lat20
391,lon250lat30,-,lon250lat40
392,lon250lat40,-,lon250lat30
393,lon250lat40,-,lon250lat50
394,lon250lat50,-,lon250lat40
395,lon250lat50,-,lon250lat60
