ID,Variable 1,Dependency,Variable 2
1,BF_BottleFeeding,->,DIA_HadDiarrhoea
2,BF_BottleFeeding,<->,BF_EarlyBreastfeeding
3,BF_BottleFeeding,<->,CUL_Religion
4,BF_BottleFeeding,<->,WSH_ImprovedToilet
5,BF_BottleFeeding,<->,WSH_ImprovedWaterSource
6,BF_BreastfedMonths,->,DIA_HadDiarrhoea
7,BF_EarlyBreastfeeding,->,DIA_HadDiarrhoea
8,BF_EarlyBreastfeeding,<->,CUL_Religion
9,BF_EarlyBreastfeeding,<->,ECO_WealthQuintile
10,BF_EarlyBreastfeeding,<->,WSH_ImprovedToilet
11,BF_EarlyBreastfeeding,<->,WSH_ImprovedWaterSource
12,CHI_Age,->,BF_BottleFeeding
13,CHI_Age,->,BF_BreastfedMonths
14,CHI_Age,->,IMM_Diptheria
15,CHI_Age,->,IMM_Measles
16,CHI_Age,->,IMM_VitaminA1
17,CUL_LanguageGroup,->,BF_BottleFeeding
18,CUL_LanguageGroup,->,BF_EarlyBreastfeeding
19,CUL_LanguageGroup,->,ECO_WealthQuintile
20,CUL_LanguageGroup,->,FP_BirthsLast5Yrs
21,CUL_LanguageGroup,->,HOU_CookingFuel
22,CUL_LanguageGroup,->,HOU_ModernWallMaterial
23,CUL_LanguageGroup,->,MTH_Education
24,CUL_LanguageGroup,->,WSH_ImprovedToilet
25,CUL_LanguageGroup,->,WSH_ImprovedWaterSource
26,CUL_LanguageGroup,<->,CUL_Religion
27,CUL_Religion,->,BF_BreastfedMonths
28,CUL_Religion,<->,ECO_WealthQuintile
29,CUL_Religion,<->,WSH_ImprovedToilet
30,CUL_Religion,<->,WSH_ImprovedWaterSource
31,DEL_SmallBaby,->,CHI_Weight4Height
32,ECO_WealthQuintile,->,BF_BottleFeeding
33,ECO_WealthQuintile,->,BF_BreastfedMonths
34,ECO_WealthQuintile,->,CHI_Weight4Height
35,ECO_WealthQuintile,->,DEL_SmallBaby
36,ECO_WealthQuintile,->,FP_BirthsLast5Yrs
37,ECO_WealthQuintile,->,HOU_CookingFuel
38,ECO_WealthQuintile,->,HOU_ModernWallMaterial
39,ECO_WealthQuintile,->,KNW_WatchTV
40,ECO_WealthQuintile,->,MTH_Education
41,ECO_WealthQuintile,->,SRV_Near
42,ECO_WealthQuintile,->,SRV_OKAlone
43,ECO_WealthQuintile,->,WSH_ImprovedToilet
44,ECO_WealthQuintile,->,WSH_ImprovedWaterSource
45,ECO_WealthQuintile,->,WSH_SafeStoolDisposal
46,ECO_WealthQuintile,->,WSH_WashWithAgent
47,FP_BirthsLast5Yrs,->,CHI_Age
48,FP_ModernMethod,->,CHI_Age
49,FP_ModernMethod,->,FP_BirthsLast5Yrs
50,HOU_CookingFuel,->,WSH_WaterTreated
51,IMM_Diptheria,->,IMM_Measles
52,IMM_Measles,->,DIA_HadDiarrhoea
53,IMM_VitaminA1,->,IMM_Measles
54,KNW_WatchTV,->,CHI_Age
55,KNW_WatchTV,->,FP_ModernMethod
56,KNW_WatchTV,->,IMM_Diptheria
57,KNW_WatchTV,->,IMM_Measles
58,KNW_WatchTV,->,IMM_VitaminA1
59,MTH_Education,->,BF_BottleFeeding
60,MTH_Education,->,IMM_Diptheria
61,MTH_Education,->,IMM_Measles
62,MTH_Education,->,IMM_VitaminA1
63,MTH_Education,->,KNW_WatchTV
64,MTH_Education,->,SRV_Near
65,MTH_Education,->,WSH_WaterTreated
66,SRV_Near,->,DEL_SmallBaby
67,SRV_Near,->,SRV_OKAlone
68,WSH_ImprovedToilet,->,WSH_ImprovedWaterSource
69,WSH_ImprovedToilet,->,WSH_SafeStoolDisposal
70,WSH_ImprovedToilet,->,WSH_WashWithAgent
71,WSH_ImprovedWaterSource,->,DIA_HadDiarrhoea
72,WSH_ImprovedWaterSource,->,WSH_WaterTreated
73,WSH_SafeStoolDisposal,->,DIA_HadDiarrhoea
74,WSH_WashWithAgent,->,DIA_HadDiarrhoea
75,WSH_WaterTreated,->,DIA_HadDiarrhoea
