name,long,lat
lon0lat90,0,90
lon0lat80,0,80
lon0lat70,0,70
lon0lat60,0,60
lon0lat50,0,50
lon0lat40,0,40
lon0lat30,0,30
lon0lat20,0,20
lon0lat10,0,10
lon0lat0,0,0
lon0lat-10,0,-10
lon0lat-20,0,-20
lon0lat-30,0,-30
lon0lat-40,0,-40
lon0lat-50,0,-50
lon0lat-60,0,-60
lon0lat-70,0,-70
lon0lat-80,0,-80
lon10lat90,10,90
lon10lat80,10,80
lon10lat70,10,70
lon10lat60,10,60
lon10lat50,10,50
lon10lat40,10,40
lon10lat30,10,30
lon10lat20,10,20
lon10lat10,10,10
lon10lat0,10,0
lon10lat-10,10,-10
lon10lat-20,10,-20
lon10lat-30,10,-30
lon10lat-40,10,-40
lon10lat-50,10,-50
lon10lat-60,10,-60
lon10lat-70,10,-70
lon10lat-80,10,-80
lon20lat90,20,90
lon20lat80,20,80
lon20lat70,20,70
lon20lat60,20,60
lon20lat50,20,50
lon20lat40,20,40
lon20lat30,20,30
lon20lat20,20,20
lon20lat10,20,10
lon20lat0,20,0
lon20lat-10,20,-10
lon20lat-20,20,-20
lon20lat-30,20,-30
lon20lat-40,20,-40
lon20lat-50,20,-50
lon20lat-60,20,-60
lon20lat-70,20,-70
lon20lat-80,20,-80
lon30lat90,30,90
lon30lat80,30,80
lon30lat70,30,70
lon30lat60,30,60
lon30lat50,30,50
lon30lat40,30,40
lon30lat30,30,30
lon30lat20,30,20
lon30lat10,30,10
lon30lat0,30,0
lon30lat-10,30,-10
lon30lat-20,30,-20
lon30lat-30,30,-30
lon30lat-40,30,-40
lon30lat-50,30,-50
lon30lat-60,30,-60
lon30lat-70,30,-70
lon30lat-80,30,-80
lon40lat90,40,90
lon40lat80,40,80
lon40lat70,40,70
lon40lat60,40,60
lon40lat50,40,50
lon40lat40,40,40
lon40lat30,40,30
lon40lat20,40,20
lon40lat10,40,10
lon40lat0,40,0
lon40lat-10,40,-10
lon40lat-20,40,-20
lon40lat-30,40,-30
lon40lat-40,40,-40
lon40lat-50,40,-50
lon40lat-60,40,-60
lon40lat-70,40,-70
lon40lat-80,40,-80
lon50lat90,50,90
lon50lat80,50,80
lon50lat70,50,70
lon50lat60,50,60
lon50lat50,50,50
lon50lat40,50,40
lon50lat30,50,30
lon50lat20,50,20
lon50lat10,50,10
lon50lat0,50,0
lon50lat-10,50,-10
lon50lat-20,50,-20
lon50lat-30,50,-30
lon50lat-40,50,-40
lon50lat-50,50,-50
lon50lat-60,50,-60
lon50lat-70,50,-70
lon50lat-80,50,-80
lon60lat90,60,90
lon60lat80,60,80
lon60lat70,60,70
lon60lat60,60,60
lon60lat50,60,50
lon60lat40,60,40
lon60lat30,60,30
lon60lat20,60,20
lon60lat10,60,10
lon60lat0,60,0
lon60lat-10,60,-10
lon60lat-20,60,-20
lon60lat-30,60,-30
lon60lat-40,60,-40
lon60lat-50,60,-50
lon60lat-60,60,-60
lon60lat-70,60,-70
lon60lat-80,60,-80
lon70lat90,70,90
lon70lat80,70,80
lon70lat70,70,70
lon70lat60,70,60
lon70lat50,70,50
lon70lat40,70,40
lon70lat30,70,30
lon70lat20,70,20
lon70lat10,70,10
lon70lat0,70,0
lon70lat-10,70,-10
lon70lat-20,70,-20
lon70lat-30,70,-30
lon70lat-40,70,-40
lon70lat-50,70,-50
lon70lat-60,70,-60
lon70lat-70,70,-70
lon70lat-80,70,-80
lon80lat90,80,90
lon80lat80,80,80
lon80lat70,80,70
lon80lat60,80,60
lon80lat50,80,50
lon80lat40,80,40
lon80lat30,80,30
lon80lat20,80,20
lon80lat10,80,10
lon80lat0,80,0
lon80lat-10,80,-10
lon80lat-20,80,-20
lon80lat-30,80,-30
lon80lat-40,80,-40
lon80lat-50,80,-50
lon80lat-60,80,-60
lon80lat-70,80,-70
lon80lat-80,80,-80
lon90lat90,90,90
lon90lat80,90,80
lon90lat70,90,70
lon90lat60,90,60
lon90lat50,90,50
lon90lat40,90,40
lon90lat30,90,30
lon90lat20,90,20
lon90lat10,90,10
lon90lat0,90,0
lon90lat-10,90,-10
lon90lat-20,90,-20
lon90lat-30,90,-30
lon90lat-40,90,-40
lon90lat-50,90,-50
lon90lat-60,90,-60
lon90lat-70,90,-70
lon90lat-80,90,-80
lon100lat90,100,90
lon100lat80,100,80
lon100lat70,100,70
lon100lat60,100,60
lon100lat50,100,50
lon100lat40,100,40
lon100lat30,100,30
lon100lat20,100,20
lon100lat10,100,10
lon100lat0,100,0
lon100lat-10,100,-10
lon100lat-20,100,-20
lon100lat-30,100,-30
lon100lat-40,100,-40
lon100lat-50,100,-50
lon100lat-60,100,-60
lon100lat-70,100,-70
lon100lat-80,100,-80
lon110lat90,110,90
lon110lat80,110,80
lon110lat70,110,70
lon110lat60,110,60
lon110lat50,110,50
lon110lat40,110,40
lon110lat30,110,30
lon110lat20,110,20
lon110lat10,110,10
lon110lat0,110,0
lon110lat-10,110,-10
lon110lat-20,110,-20
lon110lat-30,110,-30
lon110lat-40,110,-40
lon110lat-50,110,-50
lon110lat-60,110,-60
lon110lat-70,110,-70
lon110lat-80,110,-80
lon120lat90,120,90
lon120lat80,120,80
lon120lat70,120,70
lon120lat60,120,60
lon120lat50,120,50
lon120lat40,120,40
lon120lat30,120,30
lon120lat20,120,20
lon120lat10,120,10
lon120lat0,120,0
lon120lat-10,120,-10
lon120lat-20,120,-20
lon120lat-30,120,-30
lon120lat-40,120,-40
lon120lat-50,120,-50
lon120lat-60,120,-60
lon120lat-70,120,-70
lon120lat-80,120,-80
lon130lat90,130,90
lon130lat80,130,80
lon130lat70,130,70
lon130lat60,130,60
lon130lat50,130,50
lon130lat40,130,40
lon130lat30,130,30
lon130lat20,130,20
lon130lat10,130,10
lon130lat0,130,0
lon130lat-10,130,-10
lon130lat-20,130,-20
lon130lat-30,130,-30
lon130lat-40,130,-40
lon130lat-50,130,-50
lon130lat-60,130,-60
lon130lat-70,130,-70
lon130lat-80,130,-80
lon140lat90,140,90
lon140lat80,140,80
lon140lat70,140,70
lon140lat60,140,60
lon140lat50,140,50
lon140lat40,140,40
lon140lat30,140,30
lon140lat20,140,20
lon140lat10,140,10
lon140lat0,140,0
lon140lat-10,140,-10
lon140lat-20,140,-20
lon140lat-30,140,-30
lon140lat-40,140,-40
lon140lat-50,140,-50
lon140lat-60,140,-60
lon140lat-70,140,-70
lon140lat-80,140,-80
lon150lat90,150,90
lon150lat80,150,80
lon150lat70,150,70
lon150lat60,150,60
lon150lat50,150,50
lon150lat40,150,40
lon150lat30,150,30
lon150lat20,150,20
lon150lat10,150,10
lon150lat0,150,0
lon150lat-10,150,-10
lon150lat-20,150,-20
lon150lat-30,150,-30
lon150lat-40,150,-40
lon150lat-50,150,-50
lon150lat-60,150,-60
lon150lat-70,150,-70
lon150lat-80,150,-80
lon160lat90,160,90
lon160lat80,160,80
lon160lat70,160,70
lon160lat60,160,60
lon160lat50,160,50
lon160lat40,160,40
lon160lat30,160,30
lon160lat20,160,20
lon160lat10,160,10
lon160lat0,160,0
lon160lat-10,160,-10
lon160lat-20,160,-20
lon160lat-30,160,-30
lon160lat-40,160,-40
lon160lat-50,160,-50
lon160lat-60,160,-60
lon160lat-70,160,-70
lon160lat-80,160,-80
lon170lat90,170,90
lon170lat80,170,80
lon170lat70,170,70
lon170lat60,170,60
lon170lat50,170,50
lon170lat40,170,40
lon170lat30,170,30
lon170lat20,170,20
lon170lat10,170,10
lon170lat0,170,0
lon170lat-10,170,-10
lon170lat-20,170,-20
lon170lat-30,170,-30
lon170lat-40,170,-40
lon170lat-50,170,-50
lon170lat-60,170,-60
lon170lat-70,170,-70
lon170lat-80,170,-80
lon180lat90,180,90
lon180lat80,180,80
lon180lat70,180,70
lon180lat60,180,60
lon180lat50,180,50
lon180lat40,180,40
lon180lat30,180,30
lon180lat20,180,20
lon180lat10,180,10
lon180lat0,180,0
lon180lat-10,180,-10
lon180lat-20,180,-20
lon180lat-30,180,-30
lon180lat-40,180,-40
lon180lat-50,180,-50
lon180lat-60,180,-60
lon180lat-70,180,-70
lon180lat-80,180,-80
lon190lat90,190,90
lon190lat80,190,80
lon190lat70,190,70
lon190lat60,190,60
lon190lat50,190,50
lon190lat40,190,40
lon190lat30,190,30
lon190lat20,190,20
lon190lat10,190,10
lon190lat0,190,0
lon190lat-10,190,-10
lon190lat-20,190,-20
lon190lat-30,190,-30
lon190lat-40,190,-40
lon190lat-50,190,-50
lon190lat-60,190,-60
lon190lat-70,190,-70
lon190lat-80,190,-80
lon200lat90,200,90
lon200lat80,200,80
lon200lat70,200,70
lon200lat60,200,60
lon200lat50,200,50
lon200lat40,200,40
lon200lat30,200,30
lon200lat20,200,20
lon200lat10,200,10
lon200lat0,200,0
lon200lat-10,200,-10
lon200lat-20,200,-20
lon200lat-30,200,-30
