tuning,cases,f1
SOS (BDeu Tuning),ASIA,0.375
SOS (BDeu Tuning),ASIA,0.933333333
SOS (BDeu Tuning),ASIA,0.230769231
SOS (BDeu Tuning),ASIA,0.461538462
SOS (BDeu Tuning),ASIA,0.8
SOS (BDeu Tuning),ALARM,0.417582418
SOS (BDeu Tuning),ALARM,0.674418605
SOS (BDeu Tuning),ALARM,0.581081081
SOS (BDeu Tuning),ALARM,0.459459459
SOS (BDeu Tuning),ALARM,0.640449438
SOS (BDeu Tuning),Property,0.677966102
SOS (BDeu Tuning),Property,0.555555556
SOS (BDeu Tuning),Property,0.325581395
SOS (BDeu Tuning),Property,0.533333333
SOS (BDeu Tuning),Property,0.736842105
SOS (BDeu Tuning),SPORTS,0.25
SOS (BDeu Tuning),SPORTS,0.666666667
SOS (BDeu Tuning),SPORTS,0.380952381
SOS (BDeu Tuning),SPORTS,0.347826087
SOS (BDeu Tuning),SPORTS,0.458333333
SOS (BDeu Tuning),HAILFINDER,0.5
SOS (BDeu Tuning),HAILFINDER,0.470588235
SOS (BDeu Tuning),HAILFINDER,0.484210526
SOS (BDeu Tuning),HAILFINDER,0.329896907
SOS (BDeu Tuning),HAILFINDER,0.5
SOS (BDeu Tuning),HEPAR2,0.625641026
SOS (BDeu Tuning),HEPAR2,0.539215686
SOS (BDeu Tuning),HEPAR2,0.325581395
SOS (BDeu Tuning),HEPAR2,0.486187845
SOS (BDeu Tuning),HEPAR2,0.416666667
Default A,ASIA,0.421052632
Default A,ASIA,0.428571429
Default A,ASIA,0.285714286
Default A,ASIA,0.8
Default A,ALARM,0.388888889
Default A,ALARM,0.64
Default A,ALARM,0.459459459
Default A,ALARM,0.590909091
Default A,Property,0.634920635
Default A,Property,0.30952381
Default A,Property,0.533333333
Default A,Property,0.381818182
Default A,SPORTS,0.153846154
Default A,SPORTS,0.315789474
Default A,SPORTS,0.347826087
Default A,SPORTS,0.458333333
Default A,HAILFINDER,0.535211268
Default A,HAILFINDER,0.474226804
Default A,HAILFINDER,0.350515464
Default A,HAILFINDER,0.508333333
Default A,HEPAR2,0.568690096
Default A,HEPAR2,0.284090909
Default A,HEPAR2,0.483870968
Default A,HEPAR2,0.395939086
Default B,ASIA,0.470588235
Default B,ASIA,0.933333333
Default B,ASIA,0.428571429
Default B,ASIA,0.428571429
Default B,ASIA,0.8
Default B,ALARM,0.475247525
Default B,ALARM,0.6
Default B,ALARM,0.64
Default B,ALARM,0.459459459
Default B,ALARM,0.636363636
Default B,Property,0.689655172
Default B,Property,0.62962963
Default B,Property,0.30952381
Default B,Property,0.533333333
Default B,Property,0.545454545
Default B,SPORTS,0.333333333
Default B,SPORTS,0.583333333
Default B,SPORTS,0.315789474
Default B,SPORTS,0.347826087
Default B,SPORTS,0.458333333
Default B,HAILFINDER,0.527131783
Default B,HAILFINDER,0.433333333
Default B,HAILFINDER,0.474226804
Default B,HAILFINDER,0.333333333
Default B,HAILFINDER,0.466666667
Default B,HEPAR2,0.660465116
Default B,HEPAR2,0.604878049
Default B,HEPAR2,0.284090909
Default B,HEPAR2,0.475675676
Default B,HEPAR2,0.408376963
