algoname,indtest,score,alpha,penalty,prior,Avg_BDeu,Avg_bic,Avg_ll,Avg_aic,avg_free_param,Avg_mi,Avg_mi_sh,total_mi,total_mi_sh,tuning_F1,tuning_SHD
hc,none,bdeu,none,none,1,-20291.14,-20804.07,-18446.49,-18990.69,544.20,115.54,111.17,6987.26,6723.44,NA,NA
mcmc,none,bdeu,none,none,2,-19754.78,-18999.67,-18633.47,-18999.67,366.20,127.62,122.87,6483.95,6242.37,NA,NA
mcmc,none,bdeu,none,none,1,-19943.16,-19001.25,-18633.35,-19001.25,367.90,128.11,123.31,6495.43,6252.05,NA,NA
hc,none,bdeu,none,none,2,-20170.53,-21059.39,-18385.12,-19002.42,617.30,111.89,107.66,7078.47,6810.44,NA,NA
mcmc,none,bdeu,none,none,3,-19660.34,-19002.61,-18635.51,-19002.61,367.10,127.81,123.04,6492.02,6249.54,NA,NA
mcmc,none,bdeu,none,none,10,-19463.33,-19005.74,-18634.04,-19005.74,371.70,128.03,123.26,6477.29,6235.97,NA,NA
mcmc,none,bdeu,none,none,7,-19508.18,-19006.29,-18636.29,-19006.29,370.00,127.74,122.98,6475.00,6233.94,NA,NA
mcmc,none,bdeu,none,none,6,-19532.46,-19006.59,-18640.19,-19006.59,366.40,127.61,122.86,6468.51,6227.86,NA,NA
mcmc,none,bdeu,none,none,9,-19476.51,-19006.72,-18634.62,-19006.72,372.10,127.74,122.98,6474.97,6233.75,NA,NA
mcmc,none,bdeu,none,none,8,-19490.44,-19006.72,-18635.02,-19006.72,371.70,127.68,122.93,6471.99,6231.17,NA,NA
mcmc,none,bdeu,none,none,4,-19606.34,-19007.44,-18642.14,-19007.44,365.30,127.69,122.93,6472.58,6231.53,NA,NA
mcmc,none,bdeu,none,none,5,-19563.34,-19007.44,-18642.14,-19007.44,365.30,127.69,122.93,6472.58,6231.53,NA,NA
mcmc,none,bdeu,none,none,11,-19454.36,-19007.98,-18637.98,-19007.98,370.00,128.14,123.37,6470.76,6229.94,NA,NA
mcmc,none,bdeu,none,none,12,-19447.51,-19009.55,-18640.55,-19009.55,369.00,128.17,123.40,6472.13,6231.46,NA,NA
mcmc,none,bdeu,none,none,15,-19432.43,-19009.90,-18647.40,-19009.90,362.50,128.64,123.87,6468.93,6228.97,NA,NA
mcmc,none,bdeu,none,none,16,-19430.96,-19010.64,-18648.14,-19010.64,362.50,128.64,123.87,6468.63,6228.74,NA,NA
