"hyperparm","precision","recall","BSF","f1","tp","fp","fn","tn","nEdgesGtPag","a","i","nEdgesPag","tp_undirect","tp_bidirect","tp_o_direct"
1,0.959183673469388,0.691176470588235,0.684724857685009,0.803418803418803,47,2,21,308,68,68,310,49,0,0,0
2,0.96078431372549,0.720588235294118,0.714136622390892,0.823529411764706,49,2,19,308,68,68,310,51,0,0,0
3,0.961538461538462,0.735294117647059,0.728842504743833,0.833333333333333,50,2,18,308,68,68,310,52,0,0,0
4,0.961538461538462,0.735294117647059,0.728842504743833,0.833333333333333,50,2,18,308,68,68,310,52,0,0,0
5,0.961538461538462,0.735294117647059,0.728842504743833,0.833333333333333,50,2,18,308,68,68,310,52,0,0,0
6,0.961538461538462,0.735294117647059,0.728842504743833,0.833333333333333,50,2,18,308,68,68,310,52,0,0,0
7,0.961538461538462,0.735294117647059,0.728842504743833,0.833333333333333,50,2,18,308,68,68,310,52,0,0,0
8,0.961538461538462,0.735294117647059,0.728842504743833,0.833333333333333,50,2,18,308,68,68,310,52,0,0,0
9,0.962264150943396,0.75,0.743548387096774,0.84297520661157,51,2,17,308,68,68,310,53,0,0,0
10,0.962962962962963,0.764705882352941,0.758254269449715,0.852459016393443,52,2,16,308,68,68,310,54,0,0,0
11,0.962962962962963,0.764705882352941,0.758254269449715,0.852459016393443,52,2,16,308,68,68,310,54,0,0,0
12,0.962962962962963,0.764705882352941,0.758254269449715,0.852459016393443,52,2,16,308,68,68,310,54,0,0,0
13,0.962962962962963,0.764705882352941,0.758254269449715,0.852459016393443,52,2,16,308,68,68,310,54,0,0,0
14,0.963636363636364,0.779411764705882,0.772960151802657,0.861788617886179,53,2,15,308,68,68,310,55,0,0,0
15,0.963636363636364,0.779411764705882,0.772960151802657,0.861788617886179,53,2,15,308,68,68,310,55,0,0,0
16,0.963636363636364,0.779411764705882,0.772960151802657,0.861788617886179,53,2,15,308,68,68,310,55,0,0,0
17,0.981818181818182,0.794117647058823,0.790891840607211,0.878048780487805,54,1,14,309,68,68,310,55,0,0,0
18,0.981818181818182,0.794117647058823,0.790891840607211,0.878048780487805,54,1,14,309,68,68,310,55,0,0,0
19,0.981818181818182,0.794117647058823,0.790891840607211,0.878048780487805,54,1,14,309,68,68,310,55,0,0,0
20,0.981818181818182,0.794117647058823,0.790891840607211,0.878048780487805,54,1,14,309,68,68,310,55,0,0,0
1,0.964285714285714,0.794117647058823,0.787666034155598,0.870967741935484,54,2,14,308,68,68,310,56,0,0,0
2,0.966101694915254,0.838235294117647,0.831783681214421,0.897637795275591,57,2,11,308,68,68,310,59,0,0,0
3,0.966101694915254,0.838235294117647,0.831783681214421,0.897637795275591,57,2,11,308,68,68,310,59,0,0,0
4,0.966101694915254,0.838235294117647,0.831783681214421,0.897637795275591,57,2,11,308,68,68,310,59,0,0,0
5,0.966666666666667,0.852941176470588,0.846489563567362,0.90625,58,2,10,308,68,68,310,60,0,0,0
6,0.966101694915254,0.838235294117647,0.831783681214421,0.897637795275591,57,2,11,308,68,68,310,59,0,0,0
7,0.966666666666667,0.852941176470588,0.846489563567362,0.90625,58,2,10,308,68,68,310,60,0,0,0
8,0.950819672131147,0.852941176470588,0.84326375711575,0.89922480620155,58,3,10,307,68,68,310,61,0,0,0
9,0.950819672131147,0.852941176470588,0.84326375711575,0.89922480620155,58,3,10,307,68,68,310,61,0,0,0
10,0.950819672131147,0.852941176470588,0.84326375711575,0.89922480620155,58,3,10,307,68,68,310,61,0,0,0
11,0.950819672131147,0.852941176470588,0.84326375711575,0.89922480620155,58,3,10,307,68,68,310,61,0,0,0
12,0.950819672131147,0.852941176470588,0.84326375711575,0.89922480620155,58,3,10,307,68,68,310,61,0,0,0
13,0.950819672131147,0.852941176470588,0.84326375711575,0.89922480620155,58,3,10,307,68,68,310,61,0,0,0
14,0.950819672131147,0.852941176470588,0.84326375711575,0.89922480620155,58,3,10,307,68,68,310,61,0,0,0
15,0.950819672131147,0.852941176470588,0.84326375711575,0.89922480620155,58,3,10,307,68,68,310,61,0,0,0
16,0.950819672131147,0.852941176470588,0.84326375711575,0.89922480620155,58,3,10,307,68,68,310,61,0,0,0
17,0.950819672131147,0.852941176470588,0.84326375711575,0.89922480620155,58,3,10,307,68,68,310,61,0,0,0
18,0.950819672131147,0.852941176470588,0.84326375711575,0.89922480620155,58,3,10,307,68,68,310,61,0,0,0
19,0.950819672131147,0.852941176470588,0.84326375711575,0.89922480620155,58,3,10,307,68,68,310,61,0,0,0
20,0.950819672131147,0.852941176470588,0.84326375711575,0.89922480620155,58,3,10,307,68,68,310,61,0,0,0
