algoname,indtest,score,alpha,penalty,prior,Avg_BDeu,Avg_bic,Avg_ll,Avg_aic,avg_free_param,Avg_mi,Avg_mi_sh,total_mi,total_mi_sh,tuning_F1,tuning_SHD
mcmc,none,bdeu,none,none,3,-1083.720834,-1121.947609,-753.1476087,-1121.947609,368.8,85.08990062,66.56443185,1716.146458,1342.411922,NA,NA
mcmc,none,bdeu,none,none,4,-1081.215912,-1121.947609,-753.1476087,-1121.947609,368.8,85.08990062,66.56443185,1716.146458,1342.411922,NA,NA
mcmc,none,bdeu,none,none,5,-1082.406884,-1121.947609,-753.1476087,-1121.947609,368.8,85.08990062,66.56443185,1716.146458,1342.411922,NA,NA
mcmc,none,bdeu,none,none,6,-1085.642422,-1121.947609,-753.1476087,-1121.947609,368.8,85.08990062,66.56443185,1716.146458,1342.411922,NA,NA
mcmc,none,bdeu,none,none,7,-1090.091959,-1121.947609,-753.1476087,-1121.947609,368.8,85.08990062,66.56443185,1716.146458,1342.411922,NA,NA
mcmc,none,bdeu,none,none,8,-1095.290531,-1121.947609,-753.1476087,-1121.947609,368.8,85.08990062,66.56443185,1716.146458,1342.411922,NA,NA
mcmc,none,bdeu,none,none,9,-1100.958269,-1121.947609,-753.1476087,-1121.947609,368.8,85.08990062,66.56443185,1716.146458,1342.411922,NA,NA
mcmc,none,bdeu,none,none,10,-1106.917749,-1121.947609,-753.1476087,-1121.947609,368.8,85.08990062,66.56443185,1716.146458,1342.411922,NA,NA
mcmc,none,bdeu,none,none,11,-1113.052086,-1121.947609,-753.1476087,-1121.947609,368.8,85.08990062,66.56443185,1716.146458,1342.411922,NA,NA
mcmc,none,bdeu,none,none,12,-1119.282037,-1121.947609,-753.1476087,-1121.947609,368.8,85.08990062,66.56443185,1716.146458,1342.411922,NA,NA
mcmc,none,bdeu,none,none,13,-1125.552707,-1121.947609,-753.1476087,-1121.947609,368.8,85.08990062,66.56443185,1716.146458,1342.411922,NA,NA
mcmc,none,bdeu,none,none,14,-1131.825468,-1121.947609,-753.1476087,-1121.947609,368.8,85.08990062,66.56443185,1716.146458,1342.411922,NA,NA
mcmc,none,bdeu,none,none,15,-1138.072853,-1121.947609,-753.1476087,-1121.947609,368.8,85.08990062,66.56443185,1716.146458,1342.411922,NA,NA
mcmc,none,bdeu,none,none,16,-1144.275217,-1121.947609,-753.1476087,-1121.947609,368.8,85.08990062,66.56443185,1716.146458,1342.411922,NA,NA
mcmc,none,bdeu,none,none,17,-1150.4185,-1121.947609,-753.1476087,-1121.947609,368.8,85.08990062,66.56443185,1716.146458,1342.411922,NA,NA
mcmc,none,bdeu,none,none,18,-1156.49269,-1121.947609,-753.1476087,-1121.947609,368.8,85.08990062,66.56443185,1716.146458,1342.411922,NA,NA
mcmc,none,bdeu,none,none,19,-1162.490748,-1121.947609,-753.1476087,-1121.947609,368.8,85.08990062,66.56443185,1716.146458,1342.411922,NA,NA
mcmc,none,bdeu,none,none,20,-1168.407837,-1121.947609,-753.1476087,-1121.947609,368.8,85.08990062,66.56443185,1716.146458,1342.411922,NA,NA
mcmc,none,bdeu,none,none,1,-1125.392876,-1123.927642,-752.7276418,-1123.927642,371.2,84.83825778,66.35879798,1719.611129,1344.968699,NA,NA
mcmc,none,bdeu,none,none,2,-1094.493758,-1123.927642,-752.7276418,-1123.927642,371.2,84.83825778,66.35879798,1719.611129,1344.968699,NA,NA
hc,none,bic,none,6,none,-1143.956685,-1248.893423,-810.3719565,-1067.071957,256.7,87.77820213,69.71241648,1567.522163,1244.627104,NA,NA
hc,none,bic,none,7,none,-1153.112526,-1255.050169,-834.5533512,-1061.853351,227.3,89.19049495,71.29824645,1524.875766,1218.789532,NA,NA
mmhc,x2,bic,0.05,1,none,-1337.493086,-1257.22155,-1126.42155,-1257.22155,130.8,106.0590405,87.19485092,942.8530501,774.7655794,NA,NA
mmhc,x2,bic,0.01,1,none,-1345.087257,-1267.611858,-1140.411858,-1267.611858,127.2,107.9212685,89.50819236,914.8724339,758.0502257,NA,NA
hc,none,bic,none,5,none,-1143.255171,-1282.900906,-764.6555107,-1095.455511,330.8,81.83070003,64.26848898,1659.537611,1303.144286,NA,NA
hc,none,bic,none,8,none,-1153.514554,-1283.316233,-836.3956569,-1060.795657,224.4,89.52046699,71.62993184,1521.516095,1217.048115,NA,NA
hc,none,bic,none,4,none,-1132.168073,-1284.957462,-724.9395357,-1117.939536,393,79.73086032,62.46911235,1744.368336,1366.687376,NA,NA
mmhc,x2,bic,0.05,2,none,-1337.493086,-1294.27998,-1126.42155,-1257.22155,130.8,106.0590405,87.19485092,942.8530501,774.7655794,NA,NA
mmhc,x2,bic,0.01,2,none,-1345.087257,-1303.650331,-1140.411858,-1267.611858,127.2,107.9212685,89.50819236,914.8724339,758.0502257,NA,NA
hc,none,bic,none,9,none,-1155.674446,-1304.414894,-841.0653183,-1058.265318,217.2,90.55151477,72.5025924,1511.704094,1210.177373,NA,NA
hc,none,bic,none,10,none,-1160.027475,-1316.52705,-851.3005919,-1055.800592,204.5,92.18594625,73.9329386,1492.956029,1197.388213,NA,NA
hc,none,bic,none,3,none,-1129.416822,-1328.840117,-662.5396798,-1181.73968,519.2,77.14501497,59.43319992,1892.10467,1457.711008,NA,NA
mmhc,x2,bic,0.05,3,none,-1337.493086,-1331.338411,-1126.42155,-1257.22155,130.8,106.0590405,87.19485092,942.8530501,774.7655794,NA,NA
hc,none,bic,none,11,none,-1163.096829,-1337.354029,-856.9326231,-1055.732623,198.8,92.61443146,74.35924715,1481.830903,1189.747954,NA,NA
mmhc,x2,bic,0.01,3,none,-1345.087257,-1339.688805,-1140.411858,-1267.611858,127.2,107.9212685,89.50819236,914.8724339,758.0502257,NA,NA
hc,none,bic,none,1,none,-1139.112095,-1353.283292,-568.8832915,-1353.283292,784.4,71.77152053,53.98492612,2158.750164,1623.937051,NA,NA
hc,none,bic,none,12,none,-1162.269629,-1364.495796,-857.4472095,-1055.647209,198.2,92.55010815,74.4718346,1480.80173,1191.549354,NA,NA
mmhc,x2,bic,0.05,4,none,-1337.493086,-1368.396841,-1126.42155,-1257.22155,130.8,106.0590405,87.19485092,942.8530501,774.7655794,NA,NA
mmhc,x2,bic,0.01,4,none,-1345.087257,-1375.727279,-1140.411858,-1267.611858,127.2,107.9212685,89.50819236,914.8724339,758.0502257,NA,NA
hc,none,bic,none,2,none,-1138.048247,-1376.584102,-605.5064873,-1280.906487,675.4,72.72058579,55.2494785,2064.364427,1568.786955,NA,NA
pc,x2,none,0.1,none,none,-1471.052378,-1391.839983,-1288.939983,-1391.839983,102.9,101.5517764,83.4416049,617.8161831,506.3412889,NA,NA
hc,none,bic,none,13,none,-1162.269629,-1392.57294,-857.4472095,-1055.647209,198.2,92.55010815,74.4718346,1480.80173,1191.549354,NA,NA
pc,mi,none,0.1,none,none,-1462.458295,-1394.691772,-1270.491772,-1394.691772,124.2,104.7144076,84.50774746,645.6600956,520.1043738,NA,NA
pc,mi-sh,none,0.01,none,none,-1473.595664,-1395.066959,-1288.566959,-1395.066959,106.5,106.749059,86.88779863,615.0031375,500.1804822,NA,NA
