ID,Variable 1,Dependency,Variable 2
1,lon0lat-10,->,lon0lat-20
2,lon100lat-10,->,lon100lat-20
3,lon100lat-40,->,lon100lat-50
4,lon100lat-60,->,lon100lat-70
5,lon100lat-70,->,lon100lat-80
6,lon100lat-80,->,lon110lat90
7,lon100lat0,->,lon100lat-10
8,lon100lat0,->,lon100lat10
9,lon100lat50,->,lon100lat60
10,lon100lat60,->,lon120lat50
11,lon100lat80,->,lon110lat-80
12,lon110lat-10,->,lon110lat0
13,lon110lat-20,->,lon110lat-30
14,lon110lat-30,->,lon110lat-40
15,lon110lat-40,->,lon110lat-50
16,lon110lat-50,->,lon110lat-60
17,lon110lat-60,->,lon110lat-70
18,lon110lat-80,->,lon90lat-80
19,lon110lat0,->,lon110lat10
20,lon110lat20,->,lon130lat20
21,lon110lat50,->,lon110lat40
22,lon110lat60,->,lon110lat50
23,lon110lat70,->,lon110lat60
24,lon110lat80,->,lon110lat70
25,lon110lat90,->,lon110lat80
26,lon120lat-10,->,lon120lat0
27,lon120lat-20,->,lon120lat-30
28,lon120lat-40,->,lon120lat-50
29,lon120lat-50,->,lon120lat-60
30,lon120lat-60,->,lon120lat-70
31,lon120lat-70,->,lon120lat-80
32,lon120lat-80,->,lon130lat90
33,lon120lat10,->,lon120lat20
34,lon120lat20,->,lon120lat30
35,lon120lat30,->,lon140lat40
36,lon120lat50,->,lon120lat40
37,lon120lat60,->,lon120lat70
38,lon120lat70,->,lon120lat80
39,lon120lat80,->,lon120lat90
40,lon120lat90,->,lon150lat-80
41,lon130lat-10,->,lon130lat0
42,lon130lat-20,->,lon130lat-30
43,lon130lat-20,->,lon150lat-10
44,lon130lat-30,->,lon130lat-40
45,lon130lat-50,->,lon130lat-60
46,lon130lat-60,->,lon130lat-70
47,lon130lat0,->,lon110lat-10
48,lon130lat40,->,lon130lat30
49,lon130lat50,->,lon130lat40
50,lon130lat60,->,lon130lat50
51,lon130lat70,->,lon130lat60
52,lon130lat80,->,lon130lat70
53,lon130lat90,->,lon130lat80
