ID,Variable 1,Dependency,Variable 2
1,lon0lat-10,->,lon0lat-20
2,lon100lat-10,->,lon100lat-20
3,lon100lat-10,->,lon140lat40
4,lon100lat-40,->,lon100lat-50
5,lon100lat-40,->,lon120lat-30
6,lon100lat-60,->,lon100lat-70
7,lon100lat-70,->,lon100lat-80
8,lon100lat-80,->,lon110lat90
9,lon100lat0,->,lon100lat-10
10,lon100lat30,->,lon120lat30
11,lon100lat50,->,lon100lat60
12,lon100lat60,->,lon120lat50
13,lon110lat-10,->,lon110lat0
14,lon110lat-20,->,lon110lat-30
15,lon110lat-30,->,lon110lat-40
16,lon110lat-40,->,lon110lat-50
17,lon110lat-50,->,lon110lat-60
18,lon110lat-60,->,lon110lat-70
19,lon110lat-70,->,lon130lat-70
20,lon110lat0,->,lon110lat10
21,lon110lat20,->,lon110lat30
22,lon110lat60,->,lon110lat50
23,lon110lat70,->,lon110lat60
24,lon110lat80,->,lon110lat70
25,lon110lat90,->,lon110lat80
26,lon120lat-10,->,lon120lat0
27,lon120lat-40,->,lon140lat-40
28,lon120lat-50,->,lon120lat-60
29,lon120lat-60,->,lon120lat-70
30,lon120lat-70,->,lon120lat-80
31,lon120lat-80,->,lon130lat90
32,lon120lat40,->,lon140lat50
33,lon120lat60,->,lon120lat70
34,lon120lat80,->,lon140lat90
35,lon120lat90,->,lon150lat-80
36,lon130lat-10,->,lon130lat0
37,lon130lat-20,->,lon130lat-30
38,lon130lat-30,->,lon130lat-40
39,lon130lat-40,->,lon130lat-50
40,lon130lat-50,->,lon130lat-60
41,lon130lat40,->,lon130lat30
42,lon130lat50,->,lon130lat40
43,lon130lat60,->,lon130lat50
44,lon130lat70,->,lon130lat60
45,lon130lat80,->,lon130lat70
46,lon130lat90,->,lon130lat80
47,lon140lat-30,->,lon160lat-20
48,lon140lat-40,->,lon140lat-50
49,lon140lat-50,->,lon140lat-60
50,lon140lat-60,->,lon140lat-70
51,lon140lat-70,->,lon140lat-80
52,lon140lat-80,->,lon150lat90
