Cases,Sample size,Tuning Score,algoname,indtest,score,alpha,penalty,prior,config id,precision,recall,BSF,f1,shd,tp,fp,fn,tn,nEdgesGtPag,a,i,nEdgesPag,tp_undirect,tp_bidirect,tp_o_direct,Avg_BDeu,Avg_bic,Avg_ll,Avg_aic,avg_free_param,Avg_mi,Avg_mi_sh,total_mi,total_mi_sh,tuning_F1,tuning_SHD
ASIA,1000,OCT,hc,none,bdeu,none,none,1,1,0.444444444,0.5,0.4,0.470588235,6,4,2,4,18,8,8,20,9,0,0,0,-252.2986774,-287.3763683,-216.2412687,-239.3412687,23.1,15.82519296,14.41199804,156.6844507,142.7416941,NA,NA
ASIA,1000,OCT,hc,none,bdeu,none,none,2,2,0.444444444,0.5,0.4,0.470588235,6,4,2,4,18,8,8,20,9,0,0,0,-251.8084797,-292.3958096,-216.3336035,-241.0336035,24.7,15.317767,13.99047573,162.1699778,148.1282482,NA,NA
ASIA,1000,OCT,hc,none,bdeu,none,none,3,3,0.363636364,0.5,0.3,0.421052632,8,4,4,4,16,8,8,20,11,0,0,0,-253.4438181,-303.7160227,-216.2598829,-244.6598829,28.4,13.99899873,12.78339171,163.9798833,149.735285,NA,NA
ASIA,1000,OCT,hc,none,bdeu,none,none,4,4,0.363636364,0.5,0.35,0.421052632,7,4,3,4,17,8,8,20,11,0,0,0,-255.1069426,-312.0261426,-216.2555106,-247.3555106,31.1,13.89311619,12.72587659,173.608968,159.0519517,NA,NA
ASIA,1000,OCT,hc,none,bdeu,none,none,5,5,0.307692308,0.5,0.25,0.380952381,9,4,5,4,15,8,8,20,13,0,0,0,-256.8726298,-319.064885,-216.2115375,-249.6115375,33.4,13.99492134,12.86210026,184.7055113,169.7288099,NA,NA
ASIA,1000,OCT,hc,none,bdeu,none,none,6,6,0.307692308,0.5,0.25,0.380952381,9,4,5,4,15,8,8,20,13,0,0,0,-258.4928785,-326.1575252,-215.913518,-251.713518,35.8,13.64779636,12.54243859,187.9576476,172.6740381,NA,NA
ASIA,1000,OCT,hc,none,bdeu,none,none,7,7,0.307692308,0.5,0.25,0.380952381,9,4,5,4,15,8,8,20,13,0,0,0,-260.6864528,-332.4855856,-215.7747512,-253.6747512,37.9,13.29049633,12.21364141,190.0072354,174.624431,NA,NA
ASIA,1000,OCT,hc,none,bdeu,none,none,8,8,0.285714286,0.5,0.2,0.363636364,10,4,6,4,14,8,8,20,14,0,0,0,-262.9882604,-336.7171735,-215.6951209,-254.9951209,39.3,13.11153581,12.02332623,191.4997397,175.5499124,NA,NA
ASIA,1000,OCT,hc,none,bdeu,none,none,9,9,0.285714286,0.5,0.2,0.363636364,10,4,6,4,14,8,8,20,14,0,0,0,-265.0396615,-339.1530798,-215.667474,-255.767474,40.1,13.13092277,12.02595942,193.9268726,177.4627395,NA,NA
ASIA,1000,OCT,hc,none,bdeu,none,none,10,10,0.285714286,0.5,0.2,0.363636364,10,4,6,4,14,8,8,20,14,0,0,0,-266.6423197,-339.4548043,-215.6612544,-255.8612544,40.2,13.05100246,11.95270172,193.939312,177.4630611,NA,NA
