"","﻿Tunning","Sample size","hyperparm","algorithm+score","Cases","","algoname","indtest","score","alpha","penalty","prior","config id","precision","recall","BSF","f1","shd","tp","fp","fn","tn","nEdgesGtPag","a","i","nEdgesPag","tp_undirect","tp_bidirect","tp_o_direct","f1_bde","f1_bic","f1_ll","f1_aic","shd_ll","kl_f1","kl_shd","mi_f1","mi2_f1","Dynamic tuning_F1","Dynamic tuning_SHD","BDeu tuning_F1","BDeu tuning_SHD","BIC tuning_F1","BIC tuning_SHD","Dynamic BDeu/AIC tuning_F1","Dynamic BDeu/AIC tuning_SHD","AIC tuning_F1","AIC tuning_SHD","MI tuning_F1","MI tuning_SHD","Best_config_F1","Best_config_SHD","Best_config_F1","Best_config_SHD"
"1","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bdeu","none","none","1",1,"0.351969697",0.4375,0.2825,"0.389043688",7.6,3.5,3.1,4.5,16.9,8,8,20,10,0,0,0,"NA",-239.3412687,"NA","NA","NA","NA","NA","NA","NA","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bdeu","none","none","2",2,"0.344848485",0.4625,0.2825,"0.394619883",7.9,3.7,3.6,4.3,16.4,8,8,20,10.7,0,0,0,"NA",-241.0336035,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bdeu","none","none","3",3,"0.311480186",0.4625,0.2325,"0.371754386",8.9,3.7,4.6,4.3,15.4,8,8,20,11.8,0,0,0,"NA",-244.6598829,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bdeu","none","none","4",4,"0.297810523",0.4625,0.2025,"0.361888813",9.5,3.7,5.2,4.3,14.8,8,8,20,12.5,0,0,0,"NA",-247.3555106,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bdeu","none","none","5",5,"0.271062271",0.45,0.15,"0.337850555",10.4,3.6,6,4.4,14,8,8,20,13.3,0,0,0,"NA",-249.6115375,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bdeu","none","none","6",6,"0.261547619",0.45,0.125,"0.330105402",10.9,3.6,6.5,4.4,13.5,8,8,20,13.9,0,0,0,"NA",-251.713518,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bdeu","none","none","7",7,"0.246231685",0.4375,0.0875,"0.314282891",11.5,3.5,7,4.5,13,8,8,20,14.4,0,0,0,"NA",-253.6747512,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bdeu","none","none","8",8,"0.241539",0.4375,0.0775,"0.310405044",11.7,3.5,7.2,4.5,12.8,8,8,20,14.7,0,0,0,"NA",-254.9951209,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bdeu","none","none","9",9,"0.240019392",0.4375,0.0675,"0.308931243",11.9,3.5,7.4,4.5,12.6,8,8,20,14.9,0,0,0,"NA",-255.767474,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bdeu","none","none","10",10,"0.239039",0.4375,0.0625,"0.308008166",12,3.5,7.5,4.5,12.5,8,8,20,15,0,0,0,"NA",-255.8612544,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
